2023-07-26 15:25:39,801 - INFO - FileInfo(name='config', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='objects', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='59', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/objects')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='41d550c083fc80d247c29491b452aebeb69f32', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/objects/59')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='a5', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/objects')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='d5fc42b3882c0fe3c76667a62625460aca41b8', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/objects/a5')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='pack', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/objects')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='pack-518463b56e3701eb220455e15538073532c22ae5', extension='.pack', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/objects/pack')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='pack-518463b56e3701eb220455e15538073532c22ae5', extension='.idx', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/objects/pack')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='info', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/objects')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='2c', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/objects')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='ae72f7fc348b8a9680f2579905f76f24613a56', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/objects/2c')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='1d', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/objects')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='05ba08ee3ec1fb6e9a52069fd2585388fb4786', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/objects/1d')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='HEAD', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='info', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='exclude', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/info')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='logs', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='HEAD', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/logs')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='refs', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/logs')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='heads', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/logs/refs')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='main', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/logs/refs/heads')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='remotes', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/logs/refs')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='origin', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/logs/refs/remotes')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='HEAD', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/logs/refs/remotes/origin')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='main', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/logs/refs/remotes/origin')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='description', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='hooks', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='commit-msg', extension='.sample', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/hooks')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='pre-rebase', extension='.sample', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/hooks')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='pre-commit', extension='.sample', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/hooks')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='applypatch-msg', extension='.sample', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/hooks')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='fsmonitor-watchman', extension='.sample', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/hooks')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='pre-receive', extension='.sample', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/hooks')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='prepare-commit-msg', extension='.sample', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/hooks')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='post-update', extension='.sample', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/hooks')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='pre-merge-commit', extension='.sample', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/hooks')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='pre-applypatch', extension='.sample', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/hooks')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='pre-push', extension='.sample', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/hooks')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='update', extension='.sample', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/hooks')
2023-07-26 15:25:39,802 - INFO - FileInfo(name='push-to-checkout', extension='.sample', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/hooks')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='refs', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='heads', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/refs')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='main', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/refs/heads')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='tags', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/refs')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='remotes', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/refs')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='origin', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/refs/remotes')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='HEAD', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/refs/remotes/origin')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='main', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git/refs/remotes/origin')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='index', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='packed-refs', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='COMMIT_EDITMSG', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='Java_work', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='README', extension='.md', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/Java_work')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='examp', extension='.java', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/Java_work')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='.git', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/Java_work')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='.DS_Store', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/Java_work/.git')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='config', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/Java_work/.git')
2023-07-26 15:25:39,803 - INFO - FileInfo(name='objects', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/Java_work/.git')
